"ID","position","company","reviews","location","zip_code","description","name","size","industry","country"
5317,"Field Application Scientist - Boston","10x Genomics","","Boston","","Region: Boston

The Field Applications Scientist is responsible for performing system usage trainings at customer sites, while providing experimental design, data analysis, logistical, and troubleshooting support for their region. The Field Applications Scientist will be a key contact in conjunction with in house Technical Support for responding to issues and maintaining relationships with customers. The primary goals of this position are to ensure rapid adoption and maximum customer success with 10x Genomics’ products.

Key Responsibilities

Communicate:

Perform as the technical account manager, acting as the point of contact between the customer and company.
Keep customers apprised and trained on advancements in 10X technology and software.
Coordinate and perform customer site trainings and demonstrations
Identify, document and communicate customer complaints and concerns to management.
Contribute to white papers and documentation with the goal of expanding support content.

Connect:

Scientifically partner with customers as they develop their research utilizing 10x technology.
Engage in scientific discussions with customers to cultivate long term relationships
Create and maintain positive working relationships with customers. Key, is the ability to manage expectations while exceeding the customer’s needs.
Gather and deliver strategic and competitive customer feedback, communicating customer use cases beyond initial product scope to Marketing and Product Development teams.

Support:

Troubleshoot issues related to user's technical skills, biochemistry/assay design, experimental design, software and instruments.
Interpret customer needs and identify the proper issue escalation pathway within 10X.
Support field sales team at trade shows, seminars and technical symposia. This will include presentations and networking with thought leaders.
Ability to maintain composure in potentially stressful situations.

Desired Skills and Background


Ph.D. or equivalent experience preferred; BA/BS with 5 years of experience, MS with 3 years of experience in Chemistry, Biochemistry, Molecular Biology or Genetics considered.
5 years lab experience in molecular biology, biochemistry, genomics or genetics.
3 years of hands-on experience with NGS workflows and data analysis software and/or sorting cytometry and associated analysis software.
2 years customer facing experience preferred.
Hands on proficiency with common molecular biology bench techniques; cell culture experience preferred.
Broad knowledge of genomics, biochemistry. Single cell laboratory experience is considered a plus.
Ability to work independently and as part of a team towards corporate goals.
Excellent organizational, analytical, and systematic troubleshooting skills.
Strong written and verbal communication skills. Outstanding presentation and training skills.
Familiarity with SFDC software. Ability to maintain records for customer sites and provide high level feedback to management.
Clear vision of and commitment to providing outstanding customer service.
Must be willing to travel up to 80%. Ability to manage a large territory.

","10x genomics","201-500","biotechnology","united states"
233,"Software Engineer - Genetics Platform","23andMe",4.0,"Mountain View",94041,"Join 23andMe in our mission is to be the world's trusted source of personal genetic information. We are seeking an outstanding software engineer who wants to challenge and push the boundaries of technology and science.

Create scalable software to process vast amounts of genetic data in AWS. Enjoy a collaborative environment with a small team working on our genetic data processing pipelines.

Who we are

Since 2006, 23andMe’s mission has been to help people access, understand, and benefit from the human genome. We are a group of passionate individuals pushing the boundaries of what’s possible to help turn genetic insight into better health and personal understanding.

What you'll do


Design software in a service-based architecture to process massive amounts of genetic data from multiple sources and assay technologies
Build libraries and automation to speed product development
Analyze genetic data to improve accuracy and broaden the 23andMe product offering
Crunch an ever-increasing volume of data through scientific workflows
You will solve performance and scalability issues and help us build for the future
You'll have the opportunity to collaborate with best-in-class researchers and data scientists

What you'll bring


B.S. in Computer Science or a related field
Minimum of 2 years of post-graduation industry experience
Knowledge of modern AWS deployment practices (eg. CloudFormation)
Strong Python skills and experience with version control systems
Experience with large scale data processing
A healthy interest in genetics!

About Us

23andMe, Inc. is the leading consumer genetics and research company. Our mission is to help people access, understand and benefit from the human genome. The company was named by MIT Technology Review to its “50 Smartest Companies, 2017” list, and named one of Fast Company’s “25 Brands That Matter Now, 2017”. 23andMe has over 5 million customers worldwide, with ~85 percent of customers consented to participate in research. 23andMe is located in Mountain View, CA. More information is available at www.23andMe.com ( https://www.23andme.com/ ).

At 23andMe, we value a diverse, inclusive workforce and we provide equal employment opportunity for all applicants and employees. All qualified applicants for employment will be considered without regard to an individual’s race, color, sex, gender identity, gender expression, religion, age, national origin or ancestry, citizenship, physical or mental disability, medical condition, family care status, marital status, domestic partner status, sexual orientation, genetic information, military or veteran status, or any other basis protected by federal, state or local laws. If you are unable to submit your application because of incompatible assistive technology or a disability, please contact us at accommodations-ext@23andme.com ( accommodations-ext@23andme.com ). 23andMe will reasonably accommodate qualified individuals with disabilities to the extent required by applicable law.

Please note: 23andMe does not accept agency resumes and we are not responsible for any fees related to unsolicited resumes. Thank you.","23andme","501-1000","biotechnology","united states"
5976,"Scientist, Product Development (Ancestry)","23andMe",4.0,"Mountain View",94041,"Are you fascinated by genetics, passionate about bringing science to the everyday consumer, and interested in revolutionizing how people interact with their DNA? We're looking for enthusiastic people with scientific backgrounds to contribute to the development of consumer genetics applications. Your work could help millions of people understand their genetic information and use it to make impactful life changes. Come join 23andMe's Ancestry team!

Who we are

Since 2006, 23andMe’s mission has been to help people access, understand, and benefit from the human genome. We are a group of passionate individuals pushing the boundaries of what’s possible to help turn genetic insight into better health and personal understanding.

Who you are

You have a passion for science and believe that it is important to make genetic information accessible, relatable, and useful to everyone. You have an innate curiosity about user behavior and an aptitude for analyzing it to produce actionable insights. You are comfortable evaluating findings from scientific studies, have a high-quality bar, and are a stickler for detail. You enjoy working in cross-disciplinary settings and are always looking for ways to improve the way your team gets things done. Like us, you are mission-driven and want to contribute to something that truly impacts people’s lives.

What you’ll do


Develop science-focused features and content for 23andMe's Ancestry Service
Perform exploratory data analysis to identify trends, patterns, correlations, and insights
Work with a cross-disciplinary team of product managers, researchers, engineers, and designers to deliver on our unique product and mission
Provide scientific support to a variety of teams across the company

We hope you have


An advanced STEM degree (PhD or equivalent)
Post PhD experience preferred
An ability to translate complex scientific terminology for a consumer audience
Experience with data analysis and programming, with a publication record (or repository) to back it up
Familiarity with the fundamentals of biology and human genetics
Familiarity with various study designs and statistical analysis in the context of critically evaluating scientific findings
An ability to work with minimum supervision to deliver well-designed high-quality work on time

Interested?
Submit your resume and a cover letter letting us know why you are excited about this position and why you are a great fit.

About Us

23andMe, Inc. is the leading consumer genetics and research company. Our mission is to help people access, understand and benefit from the human genome. The company was named by MIT Technology Review to its “50 Smartest Companies, 2017” list, and named one of Fast Company’s “25 Brands That Matter Now, 2017”. 23andMe has over 5 million customers worldwide, with ~85 percent of customers consented to participate in research. 23andMe is located in Mountain View, CA. More information is available at www.23andMe.com ( https://www.23andme.com/ ).

At 23andMe, we value a diverse, inclusive workforce and we provide equal employment opportunity for all applicants and employees. All qualified applicants for employment will be considered without regard to an individual’s race, color, sex, gender identity, gender expression, religion, age, national origin or ancestry, citizenship, physical or mental disability, medical condition, family care status, marital status, domestic partner status, sexual orientation, genetic information, military or veteran status, or any other basis protected by federal, state or local laws. If you are unable to submit your application because of incompatible assistive technology or a disability, please contact us at accommodations-ext@23andme.com. 23andMe will reasonably accommodate qualified individuals with disabilities to the extent required by applicable law.

Please note: 23andMe does not accept agency resumes and we are not responsible for any fees related to unsolicited resumes. Thank you.","23andme","501-1000","biotechnology","united states"
1559,"Scientist / Senior Scientist - Computational Biology","23andMe",4.0,"Mountain View",94041,"With the world’s largest database of more than 2 million genotyped and deeply phenotyped consented research participants, 23andMe is at the forefront of using human genetics to advance biomedical research and transform healthcare. Join our growing team of computational biologists in translating genetic discoveries into insights into molecular biology of human traits and diseases!

Who you are

We are looking for a colleague with extensive experience in computational biology and human genomics. Biological interpretation of the unparalleled wealth of genetic signals requires efficient computational methods that augment our database with public or internally generated high-throughput genomic or functional data. Ideal candidates will use rigorous quantitative reasoning, creativity, and understanding of biological systems to develop robust tools that drive discovery and interpretation. They will have significant experience in analyzing large genomic datasets using the best practices in machine learning or statistics. Our team is very collaborative, and the ability to communicate ideas and results to other scientists is key. Scientific questions we are working on, and the scope of our vision mean that most of the necessary tools and methods have yet to be developed anywhere in the world.

In addition, candidates for senior scientists should have multiple years of experience leading development and implementation of novel methods and bioinformatics tools, executing independently developed ideas, and a demonstrated ability to clearly and effectively communicate with a wide range of internal and external audiences.

We encourage presentation and publication of research results. The full list of our publications can be seen at https://research.23andme.com/publications/ ( https://research.23andme.com/publications/ ).

What you’ll do


Design and implement methods and tools to analyze human genomic data and drive discoveries in human health, and help identify novel therapeutic opportunities.
Contribute ideas and expertise to help shape the development of our research platform.
Work collaboratively with members of the Research, Therapeutics, Engineering, and/or Product teams to develop and execute on our research program.
For senior scientists: manage execution of complex, cross-functional, long-term projects. Supervise, develop and mentor junior scientists.

What you’ll bring


Ph.D. in Computational Biology or related field (Biomedical Informatics, Bioinformatics, Computer Science, Machine Learning, Mathematics, Statistics, Physics).
For senior scientists: significant post-graduate work in academic or industry setting.
Strong background in machine learning, statistics or algorithms development.
Extensive experience in writing robust code; strong programming skills in Python or R.
Hands-on experience working with very large genomic datasets.
Demonstrated fluency with tools and methods for sequencing data analysis (WGS, RNA-seq, and/or ChIP-seq).
Excellent verbal and written communication skills.

About Us

23andMe, Inc. is the leading consumer genetics and research company. Our mission is to help people access, understand and benefit from the human genome. The company was named by MIT Technology Review to its “50 Smartest Companies, 2017” list, and named one of Fast Company’s “25 Brands That Matter Now, 2017”. 23andMe has over 5 million customers worldwide, with ~85 percent of customers consented to participate in research. 23andMe is located in Mountain View, CA. More information is available at www.23andMe.com ( https://www.23andme.com/ ).

At 23andMe, we value a diverse, inclusive workforce and we provide equal employment opportunity for all applicants and employees. All qualified applicants for employment will be considered without regard to an individual’s race, color, sex, gender identity, gender expression, religion, age, national origin or ancestry, citizenship, physical or mental disability, medical condition, family care status, marital status, domestic partner status, sexual orientation, genetic information, military or veteran status, or any other basis protected by federal, state or local laws. If you are unable to submit your application because of incompatible assistive technology or a disability, please contact us at accommodations-ext@23andme.com. 23andMe will reasonably accommodate qualified individuals with disabilities to the extent required by applicable law.

Please note: 23andMe does not accept agency resumes and we are not responsible for any fees related to unsolicited resumes. Thank you.","23andme","501-1000","biotechnology","united states"
722,"User Experience (UX) Researcher","23andMe",4.0,"Mountain View",94041,"23andMe is looking for a passionate researcher who loves learning why consumers act and feel the way they do, and wants to turn those findings into actionable recommendations shared throughout our company. The questions we answer in Product vary, as do our methods and our work involves collaboration between product managers, product design, product scientists, qualitative and quantitative researchers. Reporting to the Director of Product Design, the User Experience (UX) Researcher will support colleagues in delivering compelling insights that highlight the voice of the consumer at 23andMe. This role primarily supports the product teams, focusing on areas such as consumer experience, UI design evaluation, comprehension, customer satisfaction, and product testing.

----------
Who we are
----------

Since 2006, 23andMe’s mission has been to help people access, understand, and benefit from the human genome. We are a group of passionate individuals pushing the boundaries of what’s possible to help turn genetic insight into better health and personal understanding.

--------------------
What you’ll do
--------------------


Work with dynamic cross-team partners such as product, design, content strategy, research engagement, and marketing to identify and fill key knowledge gaps about the prospective and current 23andMe consumer.
Take ownership of studies that employ qualitative and mixed methods, including product lab studies, usability evaluation, contextual inquiry, surveys, interviews, online consumer communities, focus groups, and rapid ethnography.
Assume primary responsibility to see research through from planning stages to analysis, ending with clear recommendations for partners. Goals include identifying objectives, writing and programming surveys, recruiting and moderating consumer focus groups/1:1 interviews, analyzing data, and delivering actionable insights.
Provide task management, execution, and methodological recommendations to help with research planning. Display excellent abilities to communicate with your colleagues about the progress of project goals, as well as to predict and respond to roadblocks.
Effectively communicate research findings and recommendations across the organization, which will be incorporated into business strategy as well as the 23andMe experience.

-----------------------
What you’ll bring
-----------------------


5+ years of experience in research in a consumer company, academic setting, or market research vendor. Should bring a strong point of view about the best tools and methods to turn qualitative data into actionable findings.
Familiarity and experience with survey research, including survey design, questionnaire development, sampling, and analysis.
Practical, hands-on experience with methodologies such as text analysis, 1:1 interviews, focus groups, and UI design and usability testing, particularly in prototype environments. Skill with testing user experiences delivered via responsive web apps and native mobile apps. Familiarity with medical, technology, or consumer products is a plus.
Excellent ability to communicate insights and recommendations via written presentations to various constituencies from peers to the executive level.
Capacity to multitask and prioritize tasks, in order to both think about and ""do” consumer research.
The ability to interact in a dynamic environment with a high level of integrity, remaining flexible, enthusiastic, and inventive.
Excitement to be included in a highly visible role that influences decision-making and thought leadership in the organization. While Product Design will be your home base, you will have opportunities to work in a variety of cross-team capacities.
Bachelor's degree or equivalent experience required.

--------
About Us
--------

23andMe, Inc. is the leading consumer genetics and research company. Our mission is to help people access, understand and benefit from the human genome. The company was named by MIT Technology Review to its “50 Smartest Companies, 2017” list, and named one of Fast Company’s “25 Brands That Matter Now, 2017”. 23andMe has over 5 million customers worldwide, with ~85 percent of customers consented to participate in research. 23andMe is located in Mountain View, CA. More information is available at www.23andMe.com.

At 23andMe, we value a diverse, inclusive workforce and we provide equal employment opportunity for all applicants and employees. All qualified applicants for employment will be considered without regard to an individual’s race, color, sex, gender identity, gender expression, religion, age, national origin or ancestry, citizenship, physical or mental disability, medical condition, family care status, marital status, domestic partner status, sexual orientation, genetic information, military or veteran status, or any other basis protected by federal, state or local laws. If you are unable to submit your application because of incompatible assistive technology or a disability, please contact us at accommodations-ext@23andme.com. 23andMe will reasonably accommodate qualified individuals with disabilities to the extent required by applicable law.

Please note: 23andMe does not accept agency resumes and we are not responsible for any fees related to unsolicited resumes. Thank you.","23andme","501-1000","biotechnology","united states"
1749,"Product Scientist, Research & Development and Machine Learning","23andMe",4.0,"Mountain View",94041,"Are you passionate about bringing science to the everyday consumer, and interested in revolutionizing how people interact with their DNA? Do you want to use your machine learning and modeling skills to derive meaningful human health insights from novel, large-scale datasets? We're looking for enthusiastic people with machine learning and scientific backgrounds to contribute to the development of consumer genetics applications. Your work could help millions of people understand their genetic information and use it to make impactful life changes.

Who we are
Since 2006, 23andMe’s mission has been to help people access, understand, and benefit from the human genome. We are a group of passionate individuals pushing the boundaries of what’s possible to help turn genetic insight into better health and personal understanding.

Who you are
You believe it’s not just possible to make genetics relevant to the average person, but important. You are motivated by identifying significant findings from large datasets, and you also ensure that the end results are valid and meaningful. You are a stickler for the details and are simultaneously excited and skeptical about new ideas. You can work independently but thrive as part of a team. Like us, you are mission-driven and want to contribute to something that truly impacts people’s lives.

What you’ll do


Apply both cutting edge and well-established machine learning methods to analyze genetic and phenotypic data from millions of individuals
Be a significant contributor to longer-term R&amp;D projects to develop, validate, and translate research data into novel consumer products
Find and critically evaluate external scientific studies in support of R&amp;D efforts
Collaborate on the development of scientifically accurate and compelling features for the consumer product
Provide scientific support to a variety of teams across the company

We hope you have


A Ph.D. degree in quantitative discipline, such as computational biology, bioinformatics, engineering, mathematics, or computer science
Several years of relevant work experience with machine learning, modeling, and various statistical tools, including the design, implementation, and validation of this work
Several years of experience with data analysis, programming, and related concepts in languages such as Python, R, Git, and SQL
Familiarity with various study designs and statistical analysis in the context of critically evaluating scientific findings
Motivated to clearly document and communicate your work, including presenting clear descriptions of your technical work to broad audiences
The ability to be proactive, thorough, and independent, but to also work effectively in a dynamic, fast-paced, and interdisciplinary team
Familiarity with human biology (e.g., through working on projects with a disease focus)
A passion for making science accessible and relevant to everyone

Pluses


Familiarity with human genetics (e.g., through working on projects with a genetics focus)
Experience creating web applications using frameworks (e.g., Django and Flask)
Experience communicating complex scientific concepts to a consumer audience
Experience with deep learning and familiarity with core neural network architectures
Experience in machine learning platforms and wrappers (e.g., TensorFlow and Keras)

Interested?
Submit your resume and a cover letter letting us know why you are excited about this position and why you are a great fit.

About Us

23andMe, Inc. is the leading consumer genetics and research company. Our mission is to help people access, understand and benefit from the human genome. The company was named by MIT Technology Review to its “50 Smartest Companies, 2017” list, and named one of Fast Company’s “25 Brands That Matter Now, 2017”. 23andMe has over 5 million customers worldwide, with ~85 percent of customers consented to participate in research. 23andMe is located in Mountain View, CA. More information is available at www.23andMe.com ( https://www.23andme.com/ ).

At 23andMe, we value a diverse, inclusive workforce and we provide equal employment opportunity for all applicants and employees. All qualified applicants for employment will be considered without regard to an individual’s race, color, sex, gender identity, gender expression, religion, age, national origin or ancestry, citizenship, physical or mental disability, medical condition, family care status, marital status, domestic partner status, sexual orientation, genetic information, military or veteran status, or any other basis protected by federal, state or local laws. If you are unable to submit your application because of incompatible assistive technology or a disability, please contact us at accommodations-ext@23andme.com. 23andMe will reasonably accommodate qualified individuals with disabilities to the extent required by applicable law.

Please note: 23andMe does not accept agency resumes and we are not responsible for any fees related to unsolicited resumes. Thank you.","23andme","501-1000","biotechnology","united states"
2038,"Data Scientist","23andMe",4.0,"Mountain View",94041,"23andMe is seeking an experienced data scientist to join our Analytics team. We're looking for someone with excellent analytical skills and a great track record applying them to improve the consumer experience.

Who we are
Since 2006, 23andMe’s mission has been to help people access, understand, and benefit from the human genome. We are a group of passionate individuals pushing the boundaries of what’s possible to help turn genetic insight into better health and personal understanding.

What you’ll do


Engagement and growth: our goal is to provide a high-value, dynamic experience that delights our customers. You will play a key role by analyzing customer behavior, designing experiments, and helping our team build awesome, data-driven products.
Marketing analytics and attribution: what is the optimal way to allocate spend across various customer acquisition channels? How do we measure the effectiveness of non-digital channels like TV and radio?
General data science: the Analytics team at 23andMe is highly cross-functional and works with groups across the company to help solve problems in a rigorous, data-driven way. Example applications include forecasting, web analytics, and data visualization.

What you’ll bring


5+ years of industry work experience in a Data Scientist or equivalent role
M.S. in statistics, engineering or computer science, or equivalent work experience
Skilled in R, Python, and SQL. Google Analytics and AWS are a plus
Self-starter; reliable team player with strong initiative and the ability to thrive in a high-intensity, rapidly changing environment
Excellent communication skills; this role requires regular interaction with team leads from each part of the company
Strong applied statistics and data visualization skills
An online sample of your analytical and/or data visualization abilities is greatly appreciated

About Us

23andMe, Inc. is the leading consumer genetics and research company. Our mission is to help people access, understand and benefit from the human genome. The company was named by MIT Technology Review to its “50 Smartest Companies, 2017” list, and named one of Fast Company’s “25 Brands That Matter Now, 2017”. 23andMe has over 5 million customers worldwide, with ~85 percent of customers consented to participate in research. 23andMe is located in Mountain View, CA. More information is available at www.23andMe.com ( https://www.23andme.com/ ).

At 23andMe, we value a diverse, inclusive workforce and we provide equal employment opportunity for all applicants and employees. All qualified applicants for employment will be considered without regard to an individual’s race, color, sex, gender identity, gender expression, religion, age, national origin or ancestry, citizenship, physical or mental disability, medical condition, family care status, marital status, domestic partner status, sexual orientation, genetic information, military or veteran status, or any other basis protected by federal, state or local laws. If you are unable to submit your application because of incompatible assistive technology or a disability, please contact us at accommodations-ext@23andme.com ( accommodations-ext@23andme.com ). 23andMe will reasonably accommodate qualified individuals with disabilities to the extent required by applicable law.

Please note: 23andMe does not accept agency resumes and we are not responsible for any fees related to unsolicited resumes. Thank you.","23andme","501-1000","biotechnology","united states"
2448,"Senior Financial Analyst, Research & Development","23andMe",4.0,"Mountain View",94041,"Reporting to the Director of Financial Planning and Analysis, this is a hands-on role, responsible for monthly, quarterly, and annual FP&amp;A along with project-based analyses for Business Development, Research, and Therapeutics.

Who we are

Since 2006, 23andMe’s mission has been to help people access, understand, and benefit from the human genome. We are a group of passionate individuals pushing the boundaries of what’s possible to help turn genetic insight into better health and personal understanding.

What You’ll Do


Support the Business Development, Research and Therapeutics forecast/budget and close processes. Provide recommendations on functional resource (i.e. FTEs), project spend and capex needed to support functional activities and ensure alignment of assumptions with departmental heads.
Prepare insightful financial analyses and business updates to key members of their senior staff members to enable transparency into their organization's financial performance and drivers
Responsible for financial reporting deliverables (BOD, month end, and departmental)
Support or lead ad-hoc projects and initiatives (internal and in partnership with business stakeholders), including financial valuation and ROI analyses
Continuously strive for efficiencies, process improvements and value creation across Finance while also ensuring compliance with all internal and external requirements
Work independently with limited direction and supervision, within a complex and changing environment to drive delivery of solutions.

What You’ll Bring


5-7 years’ relevant experience in Biotechnology, Pharmaceuticals, and/or corporate finance
Bachelor’s degree or higher in Finance or Life Sciences required, MBA a plus
Experience in working in cross-functional Research &amp; Development (R&amp;D) teams and in problem-solving skills - data-driven and root-cause analysis
Ability to coordinate amongst various constituencies to work collaboratively
Experience with financial processes in a complex environment with a cross-functional team
Self-starter who operates with some degree of autonomy, professionalism and results and deadlines driven
Strong interpersonal skills with experience in relationship-building and business partnership
Excellent verbal and written communications to address various levels within an organization, including presentation development
Advanced MS Excel and PowerPoint skills
Host Analytics and NetSuite experience a plus

What we offer


A respectful, fun, collaborative, dog-friendly work environment
Fitness sessions like yoga, pilates and strength training in our onsite company gym
Organic lunches five days a week from a talented local chef
Healthy snacks and beverages stocked in every kitchen
Optional treadmill desks and standing desks
After-hours intramural sports teams
CalTrain GoPass
Excellent medical, dental and vision insurance
Flex spending account option for health and/or dependent care expenses
Life insurance, short-term disability and a 401(k) with employer match
Vacation and sick leave accrual and paid holidays
Tuition reimbursement program
A 23andMe DNA kit to get you started learning

About Us

23andMe, Inc. is the leading consumer genetics and research company. Our mission is to help people access, understand and benefit from the human genome. The company was named by MIT Technology Review to its “50 Smartest Companies, 2017” list, and named one of Fast Company’s “25 Brands That Matter Now, 2017”. 23andMe has over 5 million customers worldwide, with ~85 percent of customers consented to participate in research. 23andMe is located in Mountain View, CA. More information is available at www.23andMe.com.

At 23andMe, we value a diverse, inclusive workforce and we provide equal employment opportunity for all applicants and employees. All qualified applicants for employment will be considered without regard to an individual’s race, color, sex, gender identity, gender expression, religion, age, national origin or ancestry, citizenship, physical or mental disability, medical condition, family care status, marital status, domestic partner status, sexual orientation, genetic information, military or veteran status, or any other basis protected by federal, state or local laws. If you are unable to submit your application because of incompatible assistive technology or a disability, please contact us at accommodations-ext@23andme.com. 23andMe will reasonably accommodate qualified individuals with disabilities to the extent required by applicable law.

Please note: 23andMe does not accept agency resumes and we are not responsible for any fees related to unsolicited resumes. Thank you.","23andme","501-1000","biotechnology","united states"
6898,"Scientist, Bioanalytical Assay Development","23andMe",4.0,"South San Francisco","","Who we are

Since 2006, 23andMe’s mission has been to help people access, understand, and benefit from the human genome. We are a group of passionate individuals pushing the boundaries of what’s possible to help turn genetic insight into better health and personal understanding.

23andMe's Therapeutics team is committed to discovering and developing new therapies that can offer significant benefits for patients. This dedicated research and development group identifies novel targets using 23andMe's genetic database, generates lead compounds for these targets and performs preclinical research to advance programs for clinical development. The team currently has research programs across several therapeutic areas, including oncology, skin, respiratory and cardiovascular disease.

We are looking for an extraordinary Scientist to join and collaborate on a cross-functional team responsible for bioanalytical assay method development and support for our antibody therapeutic preclinical programs. You will bring deep technical expertise in ligand-binding assay development supporting pharmacokinetic (PK), pharmacodynamic (PD), immunogenicity and biomarker quantification. Our successful candidate will be an independent and creative researcher, capable of experimental design, analytical development and troubleshooting.

What you’ll do


Establish bioanalytical deliverables and timelines for multiple projects
Develop, troubleshoot, and qualify assay methods for PK, PD, immunogenicity and biomarker assays
Provide guidance on the design, execution and interpretation of bioanalytical assays
Oversee and conduct hands-on sample analysis, review and deliver data to the project team
Summarize bioanalytical results and write technical reports supporting regulatory filings
Manage assay transfer and oversight with outsourcing partners
Support Early- and Late-Stage projects with analytical assay development as needed
Maintain current knowledge of the latest bioanalytical methods and technologies
Participate and present in cross-functional project teams

What you’ll bring


Ph.D. in Biochemistry, Analytical Chemistry, Immunology or related field with postdoctoral experience (or +4 years of Biotech/Pharma experience) and a high quality publication record
3+ years of related experience in a Biotech/Pharma setting
Experience related to the outlined essential duties
Solid knowledge of biologics PK, PD and immunogenicity assays
In-depth knowledge and hands-on experience in ligand-binding assay development, execution and troubleshooting
Strong background with immunoassay technologies, such as ELISA, ECL MSD, Luminex, Flow Cytometry and other cell-based ligand binding assays
Excellent organizational and communication skills and the ability to work independently in a team-oriented environment

Pluses


Experience with writing/reviewing study reports and contributing to regulatory submissions
Knowledge of GLP, Bioanalytical and Immunogenicity regulatory guidance
Experience in the use of LC-MS/MS methods for analyzing PK/PD profiles for antibody therapeutic candidates
Experience with automated sample and liquid handling systems

About Us

23andMe, Inc. is the leading consumer genetics and research company. Our mission is to help people access, understand and benefit from the human genome. The company was named by MIT Technology Review to its “50 Smartest Companies, 2017” list, and named one of Fast Company’s “25 Brands That Matter Now, 2017”. 23andMe has over 5 million customers worldwide, with ~85 percent of customers consented to participate in research. More information about our Therapeutics team is available at https://mediacenter.23andme.com/therapeutics/ ( https://mediacenter.23andme.com/therapeutics/ ).

At 23andMe, we value a diverse, inclusive workforce and we provide equal employment opportunity for all applicants and employees. All qualified applicants for employment will be considered without regard to an individual’s race, color, sex, gender identity, gender expression, religion, age, national origin or ancestry, citizenship, physical or mental disability, medical condition, family care status, marital status, domestic partner status, sexual orientation, genetic information, military or veteran status, or any other basis protected by federal, state or local laws. If you are unable to submit your application because of incompatible assistive technology or a disability, please contact us at accommodations-ext@23andme.com. 23andMe will reasonably accommodate qualified individuals with disabilities to the extent required by applicable law.

Please note: 23andMe does not accept agency resumes and we are not responsible for any fees related to unsolicited resumes. Thank you.","23andme","501-1000","biotechnology","united states"
2764,"Senior Product Manager, Research Tools","23andMe",4.0,"Mountain View",94041,"Who we are

23andMe’s mission is to help individuals and researchers access, understand, and benefit from the human genome. We are a group of passionate individuals pushing the boundaries of what’s possible to help turn genetic insight into better health.

Who you are

You are excited by the opportunity to drive new scientific discovery at an unprecedented rate, leveraging 23andMe’s unrivaled set of data. You not only imagine the potential that Big Data, Big Studies, and Big Computation can bring to biomedicine but also want to directly participate in realizing that potential. You understand that research studies rely on robust patient populations - and the tools that allow researchers to identify, recruit, manage, and analyze those populations. You are comfortable collaborating with researchers and data scientists to distill their objectives and understand their pain points and appreciate the power of bringing efficiency and scale to their research. You are proactive and can work independently but thrive on coordinating and working in teams. Above all, like us, you are mission-driven and want to contribute to something that truly impacts lives.

What you’ll do


Define the roadmap for the products and tools that serve 23andMe's internal and external researchers
Collaborate with researchers to optimize the workflows around identifying, recruiting, managing, and analyzing patient populations
Distill researcher needs to prioritize problems and define appropriate solutions
Work with Design and Engineering to prioritize, plan, and execute on projects
Identify scalable solutions, including data transfer to external customers, that allows us to execute on partnerships on time
Define success metrics and analyze outcomes to improve processes and portfolio strategy
Communicate requirements, plans, and project status within teams and throughout the organization, as well as with partners

We hope you have


5+ years software product management experience
Experience participating in and/or managing biological research projects, and executing toward deadlines
Success communicating across scientific, technical and business audiences
Familiarity with software and product development frameworks, agile workflows, and APIs
Bachelor’s degree in the life sciences, engineering or technical field

Pluses


Advanced degree in life sciences, engineering, or business
Previous experience conducting data-based genetics research
Familiarity with bioinformatics pipelines or genetic data
Experience working within data privacy and compliance constraints
Experience working in a regulated medical device environment
Familiarity with UX and Information Architecture best practices

About Us

23andMe, Inc. is the leading consumer genetics and research company. Our mission is to help people access, understand and benefit from the human genome. The company was named by MIT Technology Review to its “50 Smartest Companies, 2017” list, and named one of Fast Company’s “25 Brands That Matter Now, 2017”. 23andMe has over 5 million customers worldwide, with ~85 percent of customers consented to participate in research. 23andMe is located in Mountain View, CA. More information is available at www.23andMe.com ( https://www.23andme.com/ ).

At 23andMe, we value a diverse, inclusive workforce and we provide equal employment opportunity for all applicants and employees. All qualified applicants for employment will be considered without regard to an individual’s race, color, sex, gender identity, gender expression, religion, age, national origin or ancestry, citizenship, physical or mental disability, medical condition, family care status, marital status, domestic partner status, sexual orientation, genetic information, military or veteran status, or any other basis protected by federal, state or local laws. If you are unable to submit your application because of incompatible assistive technology or a disability, please contact us at accommodations-ext@23andme.com. 23andMe will reasonably accommodate qualified individuals with disabilities to the extent required by applicable law.

Please note: 23andMe does not accept agency resumes and we are not responsible for any fees related to unsolicited resumes. Thank you.","23andme","501-1000","biotechnology","united states"
